Data,Chuva -Maria,Nível-Maria
13/02/2020 21:00,0,89347
13/02/2020 20:30,,89347
13/02/2020 20:00,0,89345
13/02/2020 19:30,,89341
13/02/2020 19:00,0,89338
13/02/2020 18:30,,89337
13/02/2020 18:00,0,89338
13/02/2020 17:30,,89339
13/02/2020 17:00,0,89339
13/02/2020 16:30,,89341
13/02/2020 16:00,0,89342
13/02/2020 15:30,,89342
13/02/2020 15:00,0,89343
13/02/2020 14:30,,89343
13/02/2020 14:00,0,89343
13/02/2020 13:30,,89458
13/02/2020 13:00,0,89475
13/02/2020 12:30,,89475
13/02/2020 12:00,0,89476
13/02/2020 11:30,,89476
13/02/2020 11:00,0,89477
13/02/2020 10:40,,89479
13/02/2020 10:00,0,89479
13/02/2020 09:40,,89480
13/02/2020 09:00,0,89480
13/02/2020 08:30,,89481
13/02/2020 08:00,0,89482
13/02/2020 07:30,,89482
13/02/2020 07:00,0,89483
13/02/2020 06:30,,89484
13/02/2020 06:00,0,89485
13/02/2020 05:30,,89486
13/02/2020 05:00,0,89487
13/02/2020 04:30,,89488
13/02/2020 04:00,0,89489
13/02/2020 03:30,,89490
13/02/2020 03:00,0,89491
13/02/2020 02:30,,89491
13/02/2020 02:00,0,89490
13/02/2020 01:30,,89490
13/02/2020 01:00,0,89490
13/02/2020 00:30,,89490
13/02/2020 00:00,0,89489
12/02/2020 23:30,,89489
12/02/2020 23:00,0,89488
12/02/2020 22:30,,89488
12/02/2020 22:00,0,89487
12/02/2020 21:30,,89486
12/02/2020 21:00,0,89486
12/02/2020 20:30,,89485
12/02/2020 20:00,0,89483
12/02/2020 19:30,,89481
12/02/2020 19:00,0,89480
12/02/2020 18:30,,89483
12/02/2020 18:00,0,89481
12/02/2020 17:30,,89487
12/02/2020 17:00,0,89498
12/02/2020 16:30,,89498
12/02/2020 16:00,0,89499
12/02/2020 15:30,,89498
12/02/2020 15:00,0,89499
12/02/2020 14:30,,89499
12/02/2020 14:00,0,89499
12/02/2020 13:30,,89499
12/02/2020 13:00,0,89499
12/02/2020 12:30,,89499
12/02/2020 12:00,0,89501
12/02/2020 11:30,,89502
12/02/2020 11:00,0,89505
12/02/2020 10:30,,89508
12/02/2020 10:00,0,89508
12/02/2020 09:30,,89509
12/02/2020 09:00,0,89510
12/02/2020 08:30,,89510
12/02/2020 08:00,0,89510
12/02/2020 07:30,,89511
12/02/2020 07:00,0,89511
12/02/2020 06:30,,89512
12/02/2020 06:00,0,89512
12/02/2020 05:30,,89513
12/02/2020 05:00,0,89514
12/02/2020 04:30,,89515
12/02/2020 04:00,0,89516
12/02/2020 03:30,,89517
12/02/2020 03:00,0,89518
12/02/2020 02:30,,89520
12/02/2020 02:00,0,89521
12/02/2020 01:30,,89522
12/02/2020 01:00,0,89524
12/02/2020 00:30,,89526
12/02/2020 00:00,0,89529
11/02/2020 23:30,,89531
11/02/2020 23:00,0,89533
11/02/2020 22:30,,89535
11/02/2020 22:00,0,89537
11/02/2020 21:30,,89539
11/02/2020 21:00,0,89541
11/02/2020 20:30,,89543
11/02/2020 20:00,0,89544
11/02/2020 19:30,,89543
11/02/2020 19:00,0,89542
11/02/2020 18:30,,89543
11/02/2020 18:00,0,89547
11/02/2020 17:30,,89549
11/02/2020 17:00,0,89551
11/02/2020 16:30,,89553
11/02/2020 16:00,0,89554
11/02/2020 15:30,,89556
11/02/2020 15:00,0,89557
11/02/2020 14:30,,89560
11/02/2020 14:00,0,89561
11/02/2020 13:30,,89562
11/02/2020 13:00,0,89561
11/02/2020 12:30,,89561
11/02/2020 12:00,0,89560
11/02/2020 11:30,,89558
11/02/2020 11:00,0,89552
